"Name","Fpts","Position","Team","Team Total","Postponement","Salary","Pts/$","Value","Slate"
"Kolten Wong","7.89","2B","MIL","4.7","0","4,100","1.9","-0.3","Early"
"J.D. Martinez","7.88","OF","BOS","4.2","0","4,600","1.7","-1.3","Main"
"Riley Greene","7.85","OF","DET","4.1","0","2,900","2.7","2.1","Other"
"Buddy Kennedy","7.78","2B","ARI","4.9","0","2,300","3.4","3.2","Early"
"Mauricio Dubon","7.77","SS/OF","HOU","5.3","0","2,600","3.0","2.6","Early"
"Tyler Naquin","7.74","OF","CIN","4.6","0","4,600","1.7","-1.5","Early"
"Javier Baez","7.74","SS","DET","4.1","0","4,200","1.8","-0.7","Other"
"Jonathan Villar","7.74","2B/3B","LAA","4.5","0","4,200","1.8","-0.7","Early"
"Victor Reyes","7.71","OF","DET","4.1","0","2,500","3.1","2.7","Other"
"Kevin Kiermaier","7.71","OF","TB","5.7","0","2,300","3.4","3.1","Early"
"Darick Hall","7.70","1B","PHI","4.6","0","3,100","2.5","1.5","Other"
"Mitch Garver","7.70","C","TEX","4.5","0","5,000","1.5","-2.3","Early"
"Corey Seager","7.69","SS","TEX","4.5","0","5,200","1.5","-2.7","Early"
"Bo Bichette","7.68","SS","TOR","4.2","0","5,500","1.4","-3.3","Main"
"Josh Bell","7.68","1B","WAS","4.2","0","4,700","1.6","-1.7","Early"
"Brendan Rodgers","7.67","2B","COL","4.6","0","4,400","1.7","-1.1","Early"
"Whit Merrifield","7.67","2B","KC","4.2","0","4,300","1.8","-0.9","Early"
"Taylor Ward","7.66","OF","LAA","4.5","0","4,900","1.6","-2.1","Early"
"Jordan Luplow","7.65","OF","ARI","4.9","0","2,800","2.7","2.1","Early"
"Carlos Correa","7.65","SS","MIN","4.3","0","4,900","1.6","-2.2","Early"
"Xander Bogaerts","7.64","SS","BOS","4.2","0","4,300","1.8","-1.0","Main"
"Max Muncy","7.63","2B/3B","LAD","5.0","0","4,400","1.7","-1.2","Main"
"Andrew Benintendi","7.59","OF","KC","4.2","0","4,100","1.9","-0.6","Early"
"Carson Kelly","7.57","C","ARI","4.9","0","2,600","2.9","2.4","Early"
"Andrew McCutchen","7.54","OF","MIL","4.7","0","4,100","1.8","-0.7","Early"
"Randal Grichuk","7.49","OF","COL","4.6","0","3,900","1.9","-0.3","Early"
"Josh Rojas","7.47","3B","ARI","4.9","0","4,100","1.8","-0.7","Early"
"Tommy Pham","7.45","OF","CIN","4.6","0","4,600","1.6","-1.7","Early"
"Teoscar Hernandez","7.44","OF","TOR","4.2","0","4,200","1.8","-1.0","Main"
"Chas McCormick","7.43","OF","HOU","5.3","0","2,800","2.7","1.8","Early"
"Trevor Story","7.42","2B","BOS","4.2","0","4,000","1.9","-0.6","Main"
"Vinnie Pasquantino","7.41","1B","KC","4.2","0","2,800","2.6","1.8","Early"
"Dylan Carlson","7.32","OF","STL","4.7","0","3,000","2.4","1.3","Other"
"Jorge Polanco","7.26","2B","MIN","4.3","0","4,900","1.5","-2.5","Early"
"Francisco Mejia","7.26","C","TB","5.7","0","3,100","2.3","1.1","Early"
"Gavin Sheets","7.23","OF","CWS","5.0","0","2,800","2.6","1.6","Other"
"Jon Berti","7.22","2B/OF","MIA","3.9","0","4,700","1.5","-2.2","Early"
"Luis Garcia","7.21","SS","WAS","4.2","0","3,500","2.1","0.2","Early"
"Austin Hays","7.18","OF","BAL","4.2","0","4,700","1.5","-2.2","Early"
"Ty France","7.18","1B","SEA","3.8","0","4,400","1.6","-1.6","Main"
"Aaron Hicks","7.17","OF","NYY","5.5","0","2,600","2.8","2.0","Main"
"Trey Mancini","7.12","1B","BAL","4.2","0","3,500","2.0","0.1","Early"
"Charlie Blackmon","7.12","OF","COL","4.6","0","4,800","1.5","-2.5","Early"
"Luis Urias","7.11","2B/3B","MIL","4.7","0","4,200","1.7","-1.3","Early"
"Garrett Cooper","7.09","1B","MIA","3.9","0","3,100","2.3","0.9","Early"
"Aledmys Diaz","7.08","SS/OF","HOU","5.3","0","3,000","2.4","1.1","Early"
"Brandon Belt","7.08","1B","SF","3.7","0","3,600","2.0","-0.1","Main"
"Nelson Cruz","7.08","OF","WAS","4.2","0","4,100","1.7","-1.1","Early"
"Tyler Stephenson","7.07","C","CIN","4.6","0","4,400","1.6","-1.7","Early"
"MJ Melendez","7.07","C","KC","4.2","0","4,200","1.7","-1.3","Early"
"Seiya Suzuki","7.03","OF","CHC","3.5","0","4,500","1.6","-2.0","Main"
"Jonah Heim","7.03","C","TEX","4.5","0","3,800","1.9","-0.6","Early"
